Obj,Al,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Sr,Zr,Pb
2,1093.666667,160896.3333,186.3333333,4209,7470.666667,6133.333333,213708.3333,106.6666667,193,2433.666667,1933,7.462062425,0.5239696499,0.5832902225,5.26314459,0.4151921132,0.4072295248,4.331142568
12,1094.333333,162595,197.6666667,5769.666667,7299.333333,6744.666667,215261.6667,118.6666667,204.3333333,2528.666667,1999,7.576329832,0.4888694347,0.597923962,5.051291423,0.4109405458,0.3681773879,4.534478558
16,1086,162177.5,183,5105.5,7679,6195,217469.5,123.6666667,200,2496.333333,2042.666667,7.237903884,0.4871287533,0.5685582572,5.3675,0.41725,0.40825,4.572
20,1130,164484,174.3333333,5155,7494.666667,7125.333333,218572,107,193,2466.666667,1916.666667,7.713717391,0.5191521739,0.6059347826,5.471847931,0.4014677575,0.3685033686,4.165423484
25,1114.333333,163969.6667,175.3333333,5735.666667,8751.333333,2771.666667,160919.6667,116.3333333,177.3333333,3355.666667,2549.666667,5.845775047,0.387937421,0.4599294025,5.273935846,0.3352847908,0.4459080376,1.264178558
35,1032,148473.6667,329.6666667,4603,14429,84472.33333,204301.3333,188.6666667,190,1445.333333,2132.333333,6.952325743,0.465717437,0.5464149862,5.918581419,0.3111888112,0.9516733267,0.4585414585
51,1128.333333,161840.6667,247.3333333,5099.666667,7125,6699,215934,125.3333333,201.6666667,2504.333333,2092.666667,7.09048721,0.4742302632,0.5573718629,5.180553905,0.396885772,0.409247593,4.360988946
64,1054.333333,158170.6667,177,5403.333333,8015.333333,4368,165626,133,218,3872.333333,2303.333333,6.449707661,0.4304749334,0.5071199818,7.141044776,0.3024875622,0.4635572139,2.914427861
65,1095.333333,150867.3333,245.6666667,5995.333333,7243.333333,9072.333333,178710.3333,127,220.3333333,3500.333333,2300.333333,6.451025765,0.4313864574,0.507114732,8.354213553,0.3307076769,0.391347837,10.57864466
48,687,94489,116.3333333,4130.666667,7446.666667,32896.66667,118390,75,209,1543,1574.666667,9.427045403,0.6300308584,0.741107705,5.512293374,0.4297819142,0.3993610224,3.745242395
11,1098.666667,136825,256.6666667,6276.666667,23426.66667,80344.66667,213399,229.6666667,207.6666667,1428.333333,1919.666667,7.7339452,0.5167474392,0.6080216842,6.036592828,0.2998409007,0.9202056052,0.2313058377
70,1086.333333,145990.6667,178.6666667,8021,10968,3664,182447,179,222,3168.333333,2697.333333,5.503035166,0.3678205726,0.4326161,5.321475771,0.3275330396,0.4023127753,2.618171806
58,1093.666667,175029.3333,296.6666667,1614.333333,7371.666667,162820,116043.6667,587,190,146,1578.333333,9.405400455,0.6285546182,0.7394100076,0.5955446819,0.5141643059,0.2993819212,0.02304918877
63,1200.666667,166991.6667,187,5375.666667,8211.333333,4822.666667,180526.3333,142,208,3223.333333,2663.333333,5.573839054,0.37248889,0.4381907696,5.871712952,0.368763824,0.4416318506,2.818997297
37,1283.333333,153138.3333,389.3333333,5213,14890.66667,91955.33333,203849.6667,176,180.6666667,1458.333333,1906,7.788277123,0.5205081276,0.6122758608,6.333671143,0.3253103623,0.9589561692,0.3267038257
22,1259,156432.6667,366.6666667,3892,13206.33333,88420.66667,210484.6667,198.6666667,183.6666667,1492.333333,1989,7.46343298,0.4987798347,0.5867406294,6.14632002,0.32316001,0.9712383823,0.2288369756
10,968,149163.3333,183.6666667,4996.666667,7600.666667,6060.333333,205000,118,207,2412.333333,1888.666667,7.859903943,0.5252777373,0.6179091044,4.854418547,0.4053346628,0.370933566,4.49545058
62,1152,150665,191.6666667,7835,8564.666667,4489.333333,169178.6667,135.6666667,198.6666667,3180.333333,2625,5.655106409,0.3779347474,0.4445776801,5.636901942,0.334557082,0.4487209853,3.018237802
